form	lexeme	cell
i n t e r p o n e s	interpon	2sgPres
i n t e r p o n e n	interpon	3plPres
i n t e r p o n e	interpon	3sgPres
i n t e r p o n e m o s	interpon	1plPres
i n t e r p o n e i s	interpon	2plPres
t r a n s k u r r o	transkurr	1sgPres
t r a n s k u r r e s	transkurr	2sgPres
t r a n s k u r r e n	transkurr	3plPres
t r a n s k u r r e	transkurr	3sgPres
t r a n s k u r r i m o s	transkurr	1plPres
t r a n s k u r r i s	transkurr	2plPres
a b e N g o	aben	1sgPres
a b j e n e s	aben	2sgPres
a b j e n e n	aben	3plPres
a b j e n e	aben	3sgPres
a b e n i m o s	aben	1plPres
a b e n i s	aben	2plPres
a b a n s o	abans	1sgPres
a b a n s a s	abans	2sgPres
a b a n s a n	abans	3plPres
a b a n s a	abans	3sgPres
a b a n s a m o s	abans	1plPres
a b a n s a i s	abans	2plPres
o b s e s j o n o	obsesjon	1sgPres
o b s e s j o n a s	obsesjon	2sgPres
o b s e s j o n a n	obsesjon	3plPres
o b s e s j o n a	obsesjon	3sgPres
o b s e s j o n a m o s	obsesjon	1plPres
o b s e s j o n a i s	obsesjon	2plPres
o b l i g o	oblig	1sgPres
o b l i g a s	oblig	2sgPres
o b l i g a n	oblig	3plPres
o b l i g a	oblig	3sgPres
o b l i g a m o s	oblig	1plPres
o b l i g a i s	oblig	2plPres
d i b j e r t o	dibert	1sgPres
d i b j e r t e s	dibert	2sgPres
d i b j e r t e n	dibert	3plPres
d i b j e r t e	dibert	3sgPres
d i b e r t i m o s	dibert	1plPres
d i b e r t i s	dibert	2plPres
s o f o k o	sofok	1sgPres
s o f o k a s	sofok	2sgPres
s o f o k a n	sofok	3plPres
s o f o k a	sofok	3sgPres
s o f o k a m o s	sofok	1plPres
s o f o k a i s	sofok	2plPres
i n s i t o	insit	1sgPres
i n s i t a s	insit	2sgPres
i n s i t a n	insit	3plPres
i n s i t a	insit	3sgPres
i n s i t a m o s	insit	1plPres
i n s i t a i s	insit	2plPres
m u r m u r o	murmur	1sgPres
m u r m u r a s	murmur	2sgPres
m u r m u r a n	murmur	3plPres
m u r m u r a	murmur	3sgPres
m u r m u r a m o s	murmur	1plPres
m u r m u r a i s	murmur	2plPres
r e s p e t o	respet	1sgPres
r e s p e t a s	respet	2sgPres
r e s p e t a n	respet	3plPres
r e s p e t a	respet	3sgPres
r e s p e t a m o s	respet	1plPres
r e s p e t a i s	respet	2plPres
p r o l o N g o	proloNg	1sgPres
p r o l o N g a s	proloNg	2sgPres
p r o l o N g a n	proloNg	3plPres
p r o l o N g a	proloNg	3sgPres
p r o l o N g a m o s	proloNg	1plPres
p r o l o N g a i s	proloNg	2plPres
e s t u d j o	estudj	1sgPres
e s t u d j a s	estudj	2sgPres
e s t u d j a n	estudj	3plPres
e s t u d j a	estudj	3sgPres
e s t u d j a m o s	estudj	1plPres
e s t u d j a i s	estudj	2plPres
k o N k i s t o	koNkist	1sgPres
k o N k i s t a s	koNkist	2sgPres
k o N k i s t a n	koNkist	3plPres
k o N k i s t a	koNkist	3sgPres
k o N k i s t a m o s	koNkist	1plPres
k o N k i s t a i s	koNkist	2plPres
d i s i m u l o	disimul	1sgPres
d i s i m u l a s	disimul	2sgPres
d i s i m u l a n	disimul	3plPres
d i s i m u l a	disimul	3sgPres
d i s i m u l a m o s	disimul	1plPres
d i s i m u l a i s	disimul	2plPres
s o s p e C o	sospeC	1sgPres
s o s p e C a s	sospeC	2sgPres
s o s p e C a n	sospeC	3plPres
s o s p e C a	sospeC	3sgPres
s o s p e C a m o s	sospeC	1plPres
s o s p e C a i s	sospeC	2plPres
r e f w e r s o	refors	1sgPres
r e f w e r s a s	refors	2sgPres
r e f w e r s a n	refors	3plPres
r e f w e r s a	refors	3sgPres
r e f o r s a m o s	refors	1plPres
r e f o r s a i s	refors	2plPres
a w k s i l j o	awksilj	1sgPres
a w k s i l j a s	awksilj	2sgPres
a w k s i l j a n	awksilj	3plPres
a w k s i l j a	awksilj	3sgPres
a w k s i l j a m o s	awksilj	1plPres
a w k s i l j a i s	awksilj	2plPres
e n s a l s o	ensals	1sgPres
e n s a l s a s	ensals	2sgPres
e n s a l s a n	ensals	3plPres
e n s a l s a	ensals	3sgPres
e n s a l s a m o s	ensals	1plPres
e n s a l s a i s	ensals	2plPres
m j e n t o	ment	1sgPres
m j e n t e s	ment	2sgPres
m j e n t e n	ment	3plPres
m j e n t e	ment	3sgPres
m e n t i m o s	ment	1plPres
m e n t i s	ment	2plPres
g a n o	gan	1sgPres
g a n a s	gan	2sgPres
g a n a n	gan	3plPres
g a n a	gan	3sgPres
g a n a m o s	gan	1plPres
g a n a i s	gan	2plPres
b a t o	bat	1sgPres
b a t e s	bat	2sgPres
b a t e n	bat	3plPres
b a t e	bat	3sgPres
b a t i m o s	bat	1plPres
b a t i s	bat	2plPres
k o n s j e n t o	konsent	1sgPres
k o n s j e n t e s	konsent	2sgPres
k o n s j e n t e n	konsent	3plPres
k o n s j e n t e	konsent	3sgPres
k o n s e n t i m o s	konsent	1plPres
k o n s e n t i s	konsent	2plPres
e n f u n d o	enfund	1sgPres
e n f u n d a s	enfund	2sgPres
e n f u n d a n	enfund	3plPres
e n f u n d a	enfund	3sgPres
e n f u n d a m o s	enfund	1plPres
e n f u n d a i s	enfund	2plPres
a t a r d e s k o	atardes	1sgPres
a t a r d e s e s	atardes	2sgPres
a t a r d e s e n	atardes	3plPres
a t a r d e s e	atardes	3sgPres
a t a r d e s e m o s	atardes	1plPres
a t a r d e s e i s	atardes	2plPres
t a m b a l e o	tambale	1sgPres
t a m b a l e a s	tambale	2sgPres
t a m b a l e a n	tambale	3plPres
t a m b a l e a	tambale	3sgPres
t a m b a l e a m o s	tambale	1plPres
t a m b a l e a i s	tambale	2plPres
a l j e n t o	alent	1sgPres
a l j e n t a s	alent	2sgPres
a l j e n t a n	alent	3plPres
a l j e n t a	alent	3sgPres
a l e n t a m o s	alent	1plPres
a l e n t a i s	alent	2plPres
e N k u b r o	eNkubr	1sgPres
e N k u b r e s	eNkubr	2sgPres
e N k u b r e n	eNkubr	3plPres
e N k u b r e	eNkubr	3sgPres
e N k u b r i m o s	eNkubr	1plPres
e N k u b r i s	eNkubr	2plPres
e b o k o	ebok	1sgPres
e b o k a s	ebok	2sgPres
e b o k a n	ebok	3plPres
e b o k a	ebok	3sgPres
e b o k a m o s	ebok	1plPres
e b o k a i s	ebok	2plPres
d e s t i l o	destil	1sgPres
d e s t i l a s	destil	2sgPres
d e s t i l a n	destil	3plPres
d e s t i l a	destil	3sgPres
d e s t i l a m o s	destil	1plPres
d e s t i l a i s	destil	2plPres
a b o l o	abol	1sgPres
a b o l e s	abol	2sgPres
a b o l e n	abol	3plPres
a b o l e	abol	3sgPres
a b o l i m o s	abol	1plPres
a b o l i s	abol	2plPres
x u n t o	xunt	1sgPres
x u n t a s	xunt	2sgPres
x u n t a n	xunt	3plPres
x u n t a	xunt	3sgPres
x u n t a m o s	xunt	1plPres
x u n t a i s	xunt	2plPres
e k s p l o t o	eksplot	1sgPres
e k s p l o t a s	eksplot	2sgPres
e k s p l o t a n	eksplot	3plPres
e k s p l o t a	eksplot	3sgPres
e k s p l o t a m o s	eksplot	1plPres
e k s p l o t a i s	eksplot	2plPres
b a l a n s e o	balanse	1sgPres
b a l a n s e a s	balanse	2sgPres
b a l a n s e a n	balanse	3plPres
b a l a n s e a	balanse	3sgPres
b a l a n s e a m o s	balanse	1plPres
b a l a n s e a i s	balanse	2plPres
a f l o x o	aflox	1sgPres
a f l o x a s	aflox	2sgPres
a f l o x a n	aflox	3plPres
a f l o x a	aflox	3sgPres
a f l o x a m o s	aflox	1plPres
a f l o x a i s	aflox	2plPres
r e l e g o	releg	1sgPres
r e l e g a s	releg	2sgPres
r e l e g a n	releg	3plPres
r e l e g a	releg	3sgPres
r e l e g a m o s	releg	1plPres
r e l e g a i s	releg	2plPres
a t i s b o	atisb	1sgPres
a t i s b a s	atisb	2sgPres
a t i s b a n	atisb	3plPres
a t i s b a	atisb	3sgPres
a t i s b a m o s	atisb	1plPres
a t i s b a i s	atisb	2plPres
e k s p l i k o	eksplik	1sgPres
e k s p l i k a s	eksplik	2sgPres
e k s p l i k a n	eksplik	3plPres
e k s p l i k a	eksplik	3sgPres
e k s p l i k a m o s	eksplik	1plPres
e k s p l i k a i s	eksplik	2plPres
e n f i l o	enfil	1sgPres
e n f i l a s	enfil	2sgPres
e n f i l a n	enfil	3plPres
e n f i l a	enfil	3sgPres
e n f i l a m o s	enfil	1plPres
e n f i l a i s	enfil	2plPres
e k s p l o r o	eksplor	1sgPres
e k s p l o r a s	eksplor	2sgPres
e k s p l o r a n	eksplor	3plPres
e k s p l o r a	eksplor	3sgPres
e k s p l o r a m o s	eksplor	1plPres
e k s p l o r a i s	eksplor	2plPres
o t o r g o	otorg	1sgPres
o t o r g a s	otorg	2sgPres
o t o r g a n	otorg	3plPres
o t o r g a	otorg	3sgPres
o t o r g a m o s	otorg	1plPres
o t o r g a i s	otorg	2plPres
k u s t o d j o	kustodj	1sgPres
k u s t o d j a s	kustodj	2sgPres
k u s t o d j a n	kustodj	3plPres
k u s t o d j a	kustodj	3sgPres
k u s t o d j a m o s	kustodj	1plPres
k u s t o d j a i s	kustodj	2plPres
d e t a j o	detaj	1sgPres
d e t a j a s	detaj	2sgPres
d e t a j a n	detaj	3plPres
d e t a j a	detaj	3sgPres
d e t a j a m o s	detaj	1plPres
d e t a j a i s	detaj	2plPres
k a m i n o	kamin	1sgPres
k a m i n a s	kamin	2sgPres
k a m i n a n	kamin	3plPres
k a m i n a	kamin	3sgPres
k a m i n a m o s	kamin	1plPres
k a m i n a i s	kamin	2plPres
k u l p o	kulp	1sgPres
k u l p a s	kulp	2sgPres
k u l p a n	kulp	3plPres
k u l p a	kulp	3sgPres
k u l p a m o s	kulp	1plPres
k u l p a i s	kulp	2plPres
a s j e r t o	asert	1sgPres
a s j e r t a s	asert	2sgPres
a s j e r t a n	asert	3plPres
a s j e r t a	asert	3sgPres
a s e r t a m o s	asert	1plPres
a s e r t a i s	asert	2plPres
k o n f u n d o	konfund	1sgPres
k o n f u n d e s	konfund	2sgPres
k o n f u n d e n	konfund	3plPres
k o n f u n d e	konfund	3sgPres
k o n f u n d i m o s	konfund	1plPres
k o n f u n d i s	konfund	2plPres
w e s o	os	1sgPres
w e s a s	os	2sgPres
w e s a n	os	3plPres
w e s a	os	3sgPres
o s a m o s	os	1plPres
o s a i s	os	2plPres
a p u n t o	apunt	1sgPres
a p u n t a s	apunt	2sgPres
a p u n t a n	apunt	3plPres
a p u n t a	apunt	3sgPres
a p u n t a m o s	apunt	1plPres
a p u n t a i s	apunt	2plPres
m o d u l o	modul	1sgPres
m o d u l a s	modul	2sgPres
m o d u l a n	modul	3plPres
m o d u l a	modul	3sgPres
m o d u l a m o s	modul	1plPres
m o d u l a i s	modul	2plPres
a s o s j o	asosj	1sgPres
a s o s j a s	asosj	2sgPres
a s o s j a n	asosj	3plPres
a s o s j a	asosj	3sgPres
a s o s j a m o s	asosj	1plPres
a s o s j a i s	asosj	2plPres
a g a r r o	agarr	1sgPres
a g a r r a s	agarr	2sgPres
a g a r r a n	agarr	3plPres
a g a r r a	agarr	3sgPres
a g a r r a m o s	agarr	1plPres
a g a r r a i s	agarr	2plPres
a j o	aj	1sgPres
a j a s	aj	2sgPres
a j a n	aj	3plPres
a j a	aj	3sgPres
a j a m o s	aj	1plPres
a j a i s	aj	2plPres
m a n d o	mand	1sgPres
m a n d a s	mand	2sgPres
m a n d a n	mand	3plPres
m a n d a	mand	3sgPres
m a n d a m o s	mand	1plPres
m a n d a i s	mand	2plPres
s u p e r o	super	1sgPres
s u p e r a s	super	2sgPres
s u p e r a n	super	3plPres
s u p e r a	super	3sgPres
s u p e r a m o s	super	1plPres
s u p e r a i s	super	2plPres
r e k a w d o	rekawd	1sgPres
r e k a w d a s	rekawd	2sgPres
r e k a w d a n	rekawd	3plPres
r e k a w d a	rekawd	3sgPres
r e k a w d a m o s	rekawd	1plPres
r e k a w d a i s	rekawd	2plPres
s u k u m b o	sukumb	1sgPres
s u k u m b e s	sukumb	2sgPres
s u k u m b e n	sukumb	3plPres
s u k u m b e	sukumb	3sgPres
s u k u m b i m o s	sukumb	1plPres
s u k u m b i s	sukumb	2plPres
a k a e s k o	akaes	1sgPres
a k a e s e s	akaes	2sgPres
a k a e s e n	akaes	3plPres
a k a e s e	akaes	3sgPres
a k a e s e m o s	akaes	1plPres
a k a e s e i s	akaes	2plPres
d e s b e l o	desbel	1sgPres
d e s b e l a s	desbel	2sgPres
d e s b e l a n	desbel	3plPres
d e s b e l a	desbel	3sgPres
d e s b e l a m o s	desbel	1plPres
d e s b e l a i s	desbel	2plPres
t r a i g o	tra	1sgPres
t r a e s	tra	2sgPres
t r a e n	tra	3plPres
t r a e	tra	3sgPres
t r a e m o s	tra	1plPres
t r a e i s	tra	2plPres
a p l a s t o	aplast	1sgPres
a p l a s t a s	aplast	2sgPres
a p l a s t a n	aplast	3plPres
a p l a s t a	aplast	3sgPres
a p l a s t a m o s	aplast	1plPres
a p l a s t a i s	aplast	2plPres
r a t i f i k o	ratifik	1sgPres
r a t i f i k a s	ratifik	2sgPres
r a t i f i k a n	ratifik	3plPres
r a t i f i k a	ratifik	3sgPres
r a t i f i k a m o s	ratifik	1plPres
r a t i f i k a i s	ratifik	2plPres
p r o k l a m o	proklam	1sgPres
p r o k l a m a s	proklam	2sgPres
p r o k l a m a n	proklam	3plPres
p r o k l a m a	proklam	3sgPres
p r o k l a m a m o s	proklam	1plPres
p r o k l a m a i s	proklam	2plPres
f u n s j o n o	funsjon	1sgPres
f u n s j o n a s	funsjon	2sgPres
f u n s j o n a n	funsjon	3plPres
f u n s j o n a	funsjon	3sgPres
f u n s j o n a m o s	funsjon	1plPres
f u n s j o n a i s	funsjon	2plPres
p e r d u r o	perdur	1sgPres
p e r d u r a s	perdur	2sgPres
p e r d u r a n	perdur	3plPres
p e r d u r a	perdur	3sgPres
p e r d u r a m o s	perdur	1plPres
p e r d u r a i s	perdur	2plPres
l e x i t i m o	lexitim	1sgPres
l e x i t i m a s	lexitim	2sgPres
l e x i t i m a n	lexitim	3plPres
l e x i t i m a	lexitim	3sgPres
l e x i t i m a m o s	lexitim	1plPres
l e x i t i m a i s	lexitim	2plPres
p r e s u m o	presum	1sgPres
p r e s u m e s	presum	2sgPres
p r e s u m e n	presum	3plPres
p r e s u m e	presum	3sgPres
p r e s u m i m o s	presum	1plPres
p r e s u m i s	presum	2plPres
d e s p r e s j o	despresj	1sgPres
d e s p r e s j a s	despresj	2sgPres
d e s p r e s j a n	despresj	3plPres
d e s p r e s j a	despresj	3sgPres
d e s p r e s j a m o s	despresj	1plPres
d e s p r e s j a i s	despresj	2plPres
k o n s e d o	konsed	1sgPres
k o n s e d e s	konsed	2sgPres
k o n s e d e n	konsed	3plPres
k o n s e d e	konsed	3sgPres
k o n s e d e m o s	konsed	1plPres
k o n s e d e i s	konsed	2plPres
k o m p a r t o	kompart	1sgPres
k o m p a r t e s	kompart	2sgPres
k o m p a r t e n	kompart	3plPres
k o m p a r t e	kompart	3sgPres
k o m p a r t i m o s	kompart	1plPres
k o m p a r t i s	kompart	2plPres
d o r m i t o	dormit	1sgPres
d o r m i t a s	dormit	2sgPres
d o r m i t a n	dormit	3plPres
d o r m i t a	dormit	3sgPres
d o r m i t a m o s	dormit	1plPres
d o r m i t a i s	dormit	2plPres
s e s o	ses	1sgPres
s e s a s	ses	2sgPres
s e s a n	ses	3plPres
s e s a	ses	3sgPres
s e s a m o s	ses	1plPres
s e s a i s	ses	2plPres
e b a d o	ebad	1sgPres
e b a d e s	ebad	2sgPres
e b a d e n	ebad	3plPres
e b a d e	ebad	3sgPres
e b a d i m o s	ebad	1plPres
e b a d i s	ebad	2plPres
r e t i r o	retir	1sgPres
r e t i r a s	retir	2sgPres
r e t i r a n	retir	3plPres
r e t i r a	retir	3sgPres
r e t i r a m o s	retir	1plPres
r e t i r a i s	retir	2plPres
k w e n t o	kont	1sgPres
k w e n t a s	kont	2sgPres
k w e n t a n	kont	3plPres
k w e n t a	kont	3sgPres
k o n t a m o s	kont	1plPres
k o n t a i s	kont	2plPres
r e p l e t o	replet	1sgPres
r e p l e t a s	replet	2sgPres
r e p l e t a n	replet	3plPres
r e p l e t a	replet	3sgPres
r e p l e t a m o s	replet	1plPres
r e p l e t a i s	replet	2plPres
m a t i s o	matis	1sgPres
m a t i s a s	matis	2sgPres
m a t i s a n	matis	3plPres
m a t i s a	matis	3sgPres
m a t i s a m o s	matis	1plPres
m a t i s a i s	matis	2plPres
d o m i n o	domin	1sgPres
d o m i n a s	domin	2sgPres
d o m i n a n	domin	3plPres
d o m i n a	domin	3sgPres
d o m i n a m o s	domin	1plPres
d o m i n a i s	domin	2plPres
r e p r e s e n t o	represent	1sgPres
r e p r e s e n t a s	represent	2sgPres
r e p r e s e n t a n	represent	3plPres
r e p r e s e n t a	represent	3sgPres
r e p r e s e n t a m o s	represent	1plPres
r e p r e s e n t a i s	represent	2plPres
k o n t r a r j o	kontrarj	1sgPres
k o n t r a r j a s	kontrarj	2sgPres
k o n t r a r j a n	kontrarj	3plPres
k o n t r a r j a	kontrarj	3sgPres
k o n t r a r j a m o s	kontrarj	1plPres
k o n t r a r j a i s	kontrarj	2plPres
d o t o	dot	1sgPres
d o t a s	dot	2sgPres
d o t a n	dot	3plPres
d o t a	dot	3sgPres
d o t a m o s	dot	1plPres
d o t a i s	dot	2plPres
e l i m i n o	elimin	1sgPres
e l i m i n a s	elimin	2sgPres
e l i m i n a n	elimin	3plPres
e l i m i n a	elimin	3sgPres
e l i m i n a m o s	elimin	1plPres
e l i m i n a i s	elimin	2plPres
e N k a x o	eNkax	1sgPres
e N k a x a s	eNkax	2sgPres
e N k a x a n	eNkax	3plPres
e N k a x a	eNkax	3sgPres
e N k a x a m o s	eNkax	1plPres
e N k a x a i s	eNkax	2plPres
b r i n d o	brind	1sgPres
b r i n d a s	brind	2sgPres
b r i n d a n	brind	3plPres
b r i n d a	brind	3sgPres
b r i n d a m o s	brind	1plPres
b r i n d a i s	brind	2plPres
a m p a r o	ampar	1sgPres
a m p a r a s	ampar	2sgPres
a m p a r a n	ampar	3plPres
a m p a r a	ampar	3sgPres
a m p a r a m o s	ampar	1plPres
a m p a r a i s	ampar	2plPres
a d a p t o	adapt	1sgPres
a d a p t a s	adapt	2sgPres
a d a p t a n	adapt	3plPres
a d a p t a	adapt	3sgPres
a d a p t a m o s	adapt	1plPres
a d a p t a i s	adapt	2plPres
s o l e o	sole	1sgPres
s o l e a s	sole	2sgPres
s o l e a n	sole	3plPres
s o l e a	sole	3sgPres
s o l e a m o s	sole	1plPres
s o l e a i s	sole	2plPres
e n t r e b e o	entreb	1sgPres
e n t r e b e s	entreb	2sgPres
e n t r e b e n	entreb	3plPres
e n t r e b e	entreb	3sgPres
e n t r e b e m o s	entreb	1plPres
e n t r e b e i s	entreb	2plPres
t r a b a x o	trabax	1sgPres
t r a b a x a s	trabax	2sgPres
t r a b a x a n	trabax	3plPres
t r a b a x a	trabax	3sgPres
t r a b a x a m o s	trabax	1plPres
t r a b a x a i s	trabax	2plPres
d o n o	don	1sgPres
d o n a s	don	2sgPres
d o n a n	don	3plPres
d o n a	don	3sgPres
d o n a m o s	don	1plPres
d o n a i s	don	2plPres
d e s l u m b r o	deslumbr	1sgPres
d e s l u m b r a s	deslumbr	2sgPres
d e s l u m b r a n	deslumbr	3plPres
d e s l u m b r a	deslumbr	3sgPres
d e s l u m b r a m o s	deslumbr	1plPres
d e s l u m b r a i s	deslumbr	2plPres
d e s p j e r t o	despert	1sgPres
d e s p j e r t a s	despert	2sgPres
d e s p j e r t a n	despert	3plPres
d e s p j e r t a	despert	3sgPres
d e s p e r t a m o s	despert	1plPres
d e s p e r t a i s	despert	2plPres
p i n t o	pint	1sgPres
p i n t a s	pint	2sgPres
p i n t a n	pint	3plPres
p i n t a	pint	3sgPres
p i n t a m o s	pint	1plPres
p i n t a i s	pint	2plPres
r e d u s k o	redus	1sgPres
r e d u s e s	redus	2sgPres
r e d u s e n	redus	3plPres
r e d u s e	redus	3sgPres
r e d u s i m o s	redus	1plPres
r e d u s i s	redus	2plPres
d w e l o	dol	1sgPres
d w e l e s	dol	2sgPres
d w e l e n	dol	3plPres
d w e l e	dol	3sgPres
d o l e m o s	dol	1plPres
d o l e i s	dol	2plPres
a g r a d e s k o	agrades	1sgPres
a g r a d e s e s	agrades	2sgPres
a g r a d e s e n	agrades	3plPres
a g r a d e s e	agrades	3sgPres
a g r a d e s e m o s	agrades	1plPres
a g r a d e s e i s	agrades	2plPres
p i d o	ped	1sgPres
p i d e s	ped	2sgPres
p i d e n	ped	3plPres
p i d e	ped	3sgPres
p e d i m o s	ped	1plPres
p e d i s	ped	2plPres
s a k r i f i k o	sakrifik	1sgPres
s a k r i f i k a s	sakrifik	2sgPres
s a k r i f i k a n	sakrifik	3plPres
s a k r i f i k a	sakrifik	3sgPres
s a k r i f i k a m o s	sakrifik	1plPres
s a k r i f i k a i s	sakrifik	2plPres
a t r a b j e s o	atrabes	1sgPres
a t r a b j e s a s	atrabes	2sgPres
a t r a b j e s a n	atrabes	3plPres
a t r a b j e s a	atrabes	3sgPres
a t r a b e s a m o s	atrabes	1plPres
a t r a b e s a i s	atrabes	2plPres
k o n t e N g o	konten	1sgPres
k o n t j e n e s	konten	2sgPres
k o n t j e n e n	konten	3plPres
k o n t j e n e	konten	3sgPres
k o n t e n e m o s	konten	1plPres
k o n t e n e i s	konten	2plPres
a k o s o	akos	1sgPres
a k o s a s	akos	2sgPres
a k o s a n	akos	3plPres
a k o s a	akos	3sgPres
a k o s a m o s	akos	1plPres
a k o s a i s	akos	2plPres
a p r e s o	apres	1sgPres
a p r e s a s	apres	2sgPres
a p r e s a n	apres	3plPres
a p r e s a	apres	3sgPres
a p r e s a m o s	apres	1plPres
a p r e s a i s	apres	2plPres
d e s e n b w e l b o	desenbolb	1sgPres
d e s e n b w e l b e s	desenbolb	2sgPres
d e s e n b w e l b e n	desenbolb	3plPres
d e s e n b w e l b e	desenbolb	3sgPres
d e s e n b o l b e m o s	desenbolb	1plPres
d e s e n b o l b e i s	desenbolb	2plPres
k o m b a t o	kombat	1sgPres
k o m b a t e s	kombat	2sgPres
k o m b a t e n	kombat	3plPres
k o m b a t e	kombat	3sgPres
k o m b a t i m o s	kombat	1plPres
k o m b a t i s	kombat	2plPres
p o s o	pos	1sgPres
p o s a s	pos	2sgPres
p o s a n	pos	3plPres
p o s a	pos	3sgPres
p o s a m o s	pos	1plPres
p o s a i s	pos	2plPres
i m p i d o	imped	1sgPres
i m p i d e s	imped	2sgPres
i m p i d e n	imped	3plPres
i m p i d e	imped	3sgPres
i m p e d i m o s	imped	1plPres
i m p e d i s	imped	2plPres
p e r t u r b o	perturb	1sgPres
p e r t u r b a s	perturb	2sgPres
p e r t u r b a n	perturb	3plPres
p e r t u r b a	perturb	3sgPres
p e r t u r b a m o s	perturb	1plPres
p e r t u r b a i s	perturb	2plPres
r e s b a l o	resbal	1sgPres
r e s b a l a s	resbal	2sgPres
r e s b a l a n	resbal	3plPres
r e s b a l a	resbal	3sgPres
r e s b a l a m o s	resbal	1plPres
r e s b a l a i s	resbal	2plPres
d i s k u t o	diskut	1sgPres
d i s k u t e s	diskut	2sgPres
d i s k u t e n	diskut	3plPres
d i s k u t e	diskut	3sgPres
d i s k u t i m o s	diskut	1plPres
d i s k u t i s	diskut	2plPres
d i p u t o	diput	1sgPres
d i p u t a s	diput	2sgPres
d i p u t a n	diput	3plPres
d i p u t a	diput	3sgPres
d i p u t a m o s	diput	1plPres
d i p u t a i s	diput	2plPres
m o l d e o	molde	1sgPres
m o l d e a s	molde	2sgPres
m o l d e a n	molde	3plPres
m o l d e a	molde	3sgPres
m o l d e a m o s	molde	1plPres
m o l d e a i s	molde	2plPres
a m a n e s k o	amanes	1sgPres
a m a n e s e s	amanes	2sgPres
a m a n e s e n	amanes	3plPres
a m a n e s e	amanes	3sgPres
a m a n e s e m o s	amanes	1plPres
a m a n e s e i s	amanes	2plPres
i N g r e s o	iNgres	1sgPres
i N g r e s a s	iNgres	2sgPres
i N g r e s a n	iNgres	3plPres
i N g r e s a	iNgres	3sgPres
i N g r e s a m o s	iNgres	1plPres
i N g r e s a i s	iNgres	2plPres
m a t o	mat	1sgPres
m a t a s	mat	2sgPres
m a t a n	mat	3plPres
m a t a	mat	3sgPres
m a t a m o s	mat	1plPres
m a t a i s	mat	2plPres
b a ñ o	bañ	1sgPres
b a ñ a s	bañ	2sgPres
b a ñ a n	bañ	3plPres
b a ñ a	bañ	3sgPres
b a ñ a m o s	bañ	1plPres
b a ñ a i s	bañ	2plPres
s o b r e b i b o	sobrebib	1sgPres
s o b r e b i b e s	sobrebib	2sgPres
s o b r e b i b e n	sobrebib	3plPres
s o b r e b i b e	sobrebib	3sgPres
s o b r e b i b i m o s	sobrebib	1plPres
s o b r e b i b i s	sobrebib	2plPres
k o l m o	kolm	1sgPres
k o l m a s	kolm	2sgPres
k o l m a n	kolm	3plPres
k o l m a	kolm	3sgPres
k o l m a m o s	kolm	1plPres
k o l m a i s	kolm	2plPres
s u s t i t u j o	sustitw	1sgPres
s u s t i t u j e s	sustitw	2sgPres
s u s t i t u j e n	sustitw	3plPres
s u s t i t u j e	sustitw	3sgPres
s u s t i t w i m o s	sustitw	1plPres
s u s t i t w i s	sustitw	2plPres
e N x e n d r o	eNxendr	1sgPres
e N x e n d r a s	eNxendr	2sgPres
e N x e n d r a n	eNxendr	3plPres
e N x e n d r a	eNxendr	3sgPres
e N x e n d r a m o s	eNxendr	1plPres
e N x e n d r a i s	eNxendr	2plPres
d i s w e l b o	disolb	1sgPres
d i s w e l b e s	disolb	2sgPres
d i s w e l b e n	disolb	3plPres
d i s w e l b e	disolb	3sgPres
d i s o l b e m o s	disolb	1plPres
d i s o l b e i s	disolb	2plPres
d i l a t o	dilat	1sgPres
d i l a t a s	dilat	2sgPres
d i l a t a n	dilat	3plPres
d i l a t a	dilat	3sgPres
d i l a t a m o s	dilat	1plPres
d i l a t a i s	dilat	2plPres
e f e k t u o	efektw	1sgPres
e f e k t u a s	efektw	2sgPres
e f e k t u a n	efektw	3plPres
e f e k t u a	efektw	3sgPres
e f e k t w a m o s	efektw	1plPres
e f e k t w a i s	efektw	2plPres
a l e r t o	alert	1sgPres
a l e r t a s	alert	2sgPres
a l e r t a n	alert	3plPres
a l e r t a	alert	3sgPres
a l e r t a m o s	alert	1plPres
a l e r t a i s	alert	2plPres
r e b i b o	rebib	1sgPres
r e b i b e s	rebib	2sgPres
r e b i b e n	rebib	3plPres
r e b i b e	rebib	3sgPres
r e b i b i m o s	rebib	1plPres
r e b i b i s	rebib	2plPres
a g r u p o	agrup	1sgPres
a g r u p a s	agrup	2sgPres
a g r u p a n	agrup	3plPres
a g r u p a	agrup	3sgPres
a g r u p a m o s	agrup	1plPres
a g r u p a i s	agrup	2plPres
d e s f i l o	desfil	1sgPres
d e s f i l a s	desfil	2sgPres
d e s f i l a n	desfil	3plPres
d e s f i l a	desfil	3sgPres
d e s f i l a m o s	desfil	1plPres
d e s f i l a i s	desfil	2plPres
k o n s e r b o	konserb	1sgPres
k o n s e r b a s	konserb	2sgPres
k o n s e r b a n	konserb	3plPres
k o n s e r b a	konserb	3sgPres
k o n s e r b a m o s	konserb	1plPres
k o n s e r b a i s	konserb	2plPres
m e n s j o n o	mensjon	1sgPres
m e n s j o n a s	mensjon	2sgPres
m e n s j o n a n	mensjon	3plPres
m e n s j o n a	mensjon	3sgPres
m e n s j o n a m o s	mensjon	1plPres
m e n s j o n a i s	mensjon	2plPres
